STATE,CITY,dataMed,dataRec,,,
AL, Montgomery,2014,1933,,,
AK, Juneau,2014,2014,,,
AZ, Phoenix,2010,1933,,,
AR, Little Rock,2016,1933,,,
CA, Sacramento,1996,2016,,,
CO, Denver,2000,2012,,,
CT, Hartford,2012,2011,,,
DE, Dover,2011,2015,,,
FL, Tallahassee,2016,1933,,,
GA, Atlanta,2015,1933,,,
HI, Honolulu,2000,1933,,,
ID, Boise,1933,1933,,,
IL, Springfield,2013,2017,,,
IN, Indianapolis,2017,1933,,,
IA, Des Moines,2014,1933,,,
KS, Topeka,1933,1933,,,
KY, Frankfort,2014,1933,,,
LA, Baton Rouge,2015,1933,,,
ME, Augusta,1999,2016,,,
MD, Annapolis,2012,2014,,,
MA, Boston,2008,2016,,,
MI, Lansing,2008,1933,,,
MN, St. Paul,2014,1976,,,
MI, Jackson,2014,1978,,,
MO, Jefferson City,2014,2014,,,
MT, Helena,2004,1933,,,
NE, Lincoln,1933,1979,,,
NV, Carson City,2000,2016,,,
NH, Concord,2017,2013,,,
NJ, Trenton,2010,1933,,,
NM, Santa Fe,2007,1933,,,
NY, Albany,2014,1977,,,
NC, Raleigh,2015,1977,,,
ND, Bismarck,2016,1933,,,
OH, Columbus,2016,1975,,,
OK, Oklahoma City,2015,1933,,,
OR, Salem,1998,1973,,,
PA, Harrisburg,2016,1933,,,
RI, Providence,2006,1933,,,
SC, Columbia,2014,1933,,,
SD, Sioux*,1933,2016,,,
SD, Pierre*,1933,1933,,,
TN, Nashville,2015,2016,,,
TX, Austin,2015,1933,,,
UT, Salt Lake City,2014,1933,,,
VT, Montpelier,2004,2013,,,
VA, Richmond,1979,1933,,,
DC,Washington,1998,2014,,,
WA, Olympia,1998,2012,,,
WA, Squaxin Island*,1933,2015,,,
WA, Suquamish*,1933,2015,,,
WV, Charleston,2017,1933,,,
WI, Madison,2014,1933,,,
WY, Cheyenne,2015,1933,,,
,,,,,,